,Company (1),Business Description,Investment,Interest (3)(7),Acquisition Date,Amortized Cost,Fair Value
805,"FS Squared Holding Corp. and FS Squared, LLC (16)",Provider of on-site vending and micro market solutions,First lien senior secured loan ($0.1 par due 03/2025),5.71% (LIBOR + 5.25%/M),3/28/2019,0.1,0.1
806,"FS Squared Holding Corp. and FS Squared, LLC (16)",Provider of on-site vending and micro market solutions,"Class A units (113,219 units)",0,3/28/2019,11.1,21.1
807,"JWC/KI Holdings, LLC",Foodservice sales and marketing agency,"Membership units (5,000 units)",0,11/16/2015,5.0,6.9
808,SFE Intermediate Holdco LLC (16),Provider of outsourced foodservice to K-12 school districts,First lien senior secured loan ($10.1 par due 07/2026),5.75% (SOFR + 4.75%/Q),9/5/2018,10.1,10.1
809,SFE Intermediate Holdco LLC (16),Provider of outsourced foodservice to K-12 school districts,First lien senior secured loan ($6.3 par due 07/2026),5.75% (SOFR + 4.75%/Q),7/31/2017,6.3,6.3
810,SFE Intermediate Holdco LLC (16),Provider of outsourced foodservice to K-12 school districts,First lien senior secured loan ($52.4 par due 07/2026),5.75% (SOFR + 4.75%/M),3/22/2022,52.4,52.4
811,"VCP-EDC Co-Invest, LLC",Distributor of foodservice equipment and supplies,"Membership units (2,970,000 units)",0,6/9/2017,2.8,3.3
812,ZB Holdco LLC & ZB Parent LLC (16),Distributor of Mediterranean food and beverages,First lien senior secured loan ($1.4 par due 02/2028),6.01% (LIBOR + 5.00%/Q),2/9/2022,1.4,1.4
813,ZB Holdco LLC & ZB Parent LLC (16),Distributor of Mediterranean food and beverages,"Series A units (4,699 units)",0,2/9/2022,4.7,4.7
814,"Cheyenne Petroleum Company Limited Partnership, CPC 2001 LLC and Mill Shoals LLC",Private oil exploration and production company,Second lien senior secured loan ($63.1 par due 01/2024),10.01% (LIBOR + 9.00%/Q),7/10/2019,63.1,63.1
815,"Halcon Holdings, LLC (16)","Operator of development, exploration, and production oil company",First lien senior secured loan ($6.5 par due 11/2025),8.01% (LIBOR + 7.00%/Q),11/24/2021,6.4,6.5
816,"Murchison Oil and Gas, LLC and Murchison Holdings, LLC",Exploration and production company,First lien senior secured loan ($2.7 par due 10/2023),11.00% (LIBOR + 9.00%/Q),9/19/2019,2.7,2.7
817,"Murchison Oil and Gas, LLC and Murchison Holdings, LLC",Exploration and production company,First lien senior secured loan ($38.3 par due 10/2023),10.00% (LIBOR + 8.00%/Q),9/19/2019,38.3,38.3
818,"Murchison Oil and Gas, LLC and Murchison Holdings, LLC",Exploration and production company,"Preferred units (21,667 units)",8.00% PIK,10/26/2018,24.9,27.4
819,Sundance Energy Inc. (4),Oil and gas producer,"Common stock (157,970 shares)",0,4/23/2021,69.8,64.3
820,"VPROP Operating, LLC and V SandCo, LLC (5)(16)",Sand-based proppant producer and distributor to the oil and natural gas industry,First lien senior secured loan ($7.2 par due 11/2024),11.00% PIK (LIBOR + 9.50%/M),11/6/2020,7.2,7.2
821,"VPROP Operating, LLC and V SandCo, LLC (5)(16)",Sand-based proppant producer and distributor to the oil and natural gas industry,First lien senior secured loan ($5.7 par due 11/2024),11.00% PIK (LIBOR + 9.50%/M),6/12/2020,5.7,5.7
822,"VPROP Operating, LLC and V SandCo, LLC (5)(16)",Sand-based proppant producer and distributor to the oil and natural gas industry,First lien senior secured loan ($25.8 par due 11/2024),11.00% PIK (LIBOR + 9.50%/M),3/1/2017,25.8,25.8
823,"VPROP Operating, LLC and V SandCo, LLC (5)(16)",Sand-based proppant producer and distributor to the oil and natural gas industry,"Class A units (347,900 units)",0,11/6/2020,32.8,38.4
824,ASP-r-pac Acquisition CO LLC and ASP-r-pac Holdings LP (16),Manufacturer and supplier of printed packaging and trimmings,First lien senior secured loan ($6.3 par due 12/2027),6.75% (LIBOR + 6.00%/M),12/29/2021,6.3,6.2
825,ASP-r-pac Acquisition CO LLC and ASP-r-pac Holdings LP (16),Manufacturer and supplier of printed packaging and trimmings,"Class A units (195,990 units)",0,12/29/2021,19.6,19.6
826,"Genomatica, Inc.",Developer of a biotechnology platform for the production of chemical products,"Warrant to purchase 322,422 shares of Series D preferred stock (expires 3/2023)",0,3/28/2013,0.0,0.0
827,"Halex Holdings, Inc. (5)",Manufacturer of flooring installation products,"Common stock (51,853 shares)",0,1/3/2017,0.0,0.0
828,"H-Food Holdings, LLC and Matterhorn Parent, LLC",Food contract manufacturer,First lien senior secured loan ($0.1 par due 05/2025),6.00% (LIBOR + 5.00%/Q),12/29/2021,0.1,0.1
829,"H-Food Holdings, LLC and Matterhorn Parent, LLC",Food contract manufacturer,Second lien senior secured loan ($73.0 par due 03/2026),7.46% (LIBOR + 7.00%/M),11/25/2018,73.0,71.6
830,"H-Food Holdings, LLC and Matterhorn Parent, LLC",Food contract manufacturer,"Common units (5,827 units)",0,11/25/2018,5.8,7.6
831,IntraPac International LLC and IntraPac Canada Corporation (16),Manufacturer of diversified packaging solutions and plastic injection molded products,First lien senior secured revolving loan ($6.2 par due 01/2025),6.51% (LIBOR + 5.50%/Q),1/11/2019,6.2,6.2
832,IntraPac International LLC and IntraPac Canada Corporation (16),Manufacturer of diversified packaging solutions and plastic injection molded products,First lien senior secured loan ($14.8 par due 01/2026),6.51% (LIBOR + 5.50%/Q),1/11/2019,14.8,14.8
833,IntraPac International LLC and IntraPac Canada Corporation (16),Manufacturer of diversified packaging solutions and plastic injection molded products,First lien senior secured loan ($0.1 par due 01/2026),6.51% (LIBOR + 5.50%/Q),6/4/2021,0.1,0.1
834,"Nelipak Holding Company, Nelipak European Holdings Cooperatief U.A., KNPAK Holdings, LP and PAKNK Netherlands Treasury B.V. (16)",Manufacturer of thermoformed packaging for medical devices,First lien senior secured revolving loan ($0.2 par due 07/2024),5.26% (LIBOR + 4.25%/Q),7/2/2019,0.2,0.2
835,"Nelipak Holding Company, Nelipak European Holdings Cooperatief U.A., KNPAK Holdings, LP and PAKNK Netherlands Treasury B.V. (16)",Manufacturer of thermoformed packaging for medical devices,First lien senior secured loan ($15.0 par due 07/2026),5.25% (LIBOR + 4.25%/Q),7/2/2019,15.0,15.0
836,"Nelipak Holding Company, Nelipak European Holdings Cooperatief U.A., KNPAK Holdings, LP and PAKNK Netherlands Treasury B.V. (16)",Manufacturer of thermoformed packaging for medical devices,First lien senior secured loan ($5.0 par due 07/2026),4.50% (Euribor + 4.50%/Q),7/2/2019,5.1,5.0
837,"Nelipak Holding Company, Nelipak European Holdings Cooperatief U.A., KNPAK Holdings, LP and PAKNK Netherlands Treasury B.V. (16)",Manufacturer of thermoformed packaging for medical devices,First lien senior secured loan ($23.7 par due 07/2026),4.50% (Euribor + 4.50%/Q),8/8/2019,23.9,23.7
838,"Nelipak Holding Company, Nelipak European Holdings Cooperatief U.A., KNPAK Holdings, LP and PAKNK Netherlands Treasury B.V. (16)",Manufacturer of thermoformed packaging for medical devices,"Class A units (6,762,668 units)",0,7/2/2019,6.8,6.4
839,"Novipax Buyer, L.L.C. and Novipax Parent Holding Company, L.L.C.",Developer and manufacturer of absorbent pads for food products,First lien senior secured loan ($23.8 par due 12/2026),6.75% (LIBOR + 5.25%/Q),12/1/2020,23.8,23.8
840,"Novipax Buyer, L.L.C. and Novipax Parent Holding Company, L.L.C.",Developer and manufacturer of absorbent pads for food products,"Class A preferred units (4,772 units)",10.00% PIK,12/1/2020,5.2,6.7
841,"Novipax Buyer, L.L.C. and Novipax Parent Holding Company, L.L.C.",Developer and manufacturer of absorbent pads for food products,"Class C units (4,772 units)",0,12/1/2020,0.0,0.0
842,Plaskolite PPC Intermediate II LLC and Plaskolite PPC Blocker LLC,Manufacturer of specialized acrylic and polycarbonate sheets,First lien senior secured loan ($5.6 par due 12/2025),4.75% (LIBOR + 4.00%/S),12/14/2018,5.3,5.6
843,Plaskolite PPC Intermediate II LLC and Plaskolite PPC Blocker LLC,Manufacturer of specialized acrylic and polycarbonate sheets,Second lien senior secured loan ($55.0 par due 12/2026),8.00% (LIBOR + 7.00%/Q),12/14/2018,55.0,55.0
844,Plaskolite PPC Intermediate II LLC and Plaskolite PPC Blocker LLC,Manufacturer of specialized acrylic and polycarbonate sheets,"Co-Invest units (5,969 units)",0,12/14/2018,0.6,0.9
845,"SCI PH Parent, Inc.","Industrial container manufacturer, reconditioner and servicer",Series B shares (11 shares),0,8/24/2018,1.1,1.9
846,Chariot Buyer LLC (16),Provider of smart access solutions across residential and commercial properties,First lien senior secured revolving loan ($3.5 par due 11/2026),3.96% (LIBOR + 3.50%/M),11/3/2021,3.5,3.4
847,Chariot Buyer LLC (16),Provider of smart access solutions across residential and commercial properties,Second lien senior secured loan ($134.4 par due 11/2029),7.76% (LIBOR + 6.75%/Q),11/3/2021,134.4,133.0
848,"Everspin Technologies, Inc.",Designer and manufacturer of computer memory solutions,"Warrant to purchase up to 18,461 shares of common stock (expires 10/2026)",0,10/7/2016,0.4,0.0
849,"ITI Holdings, Inc. (16)",Provider of innovative software and equipment for motor vehicle agencies,First lien senior secured loan ($38.4 par due 03/2028),6.25% (SOFR + 5.50%/Q),3/3/2022,38.4,38.0
850,Micromeritics Instrument Corp. (16),Scientific instrument manufacturer,First lien senior secured revolving loan,0,12/18/2019,0.0,0.0
851,Micromeritics Instrument Corp. (16),Scientific instrument manufacturer,First lien senior secured loan ($29.6 par due 12/2025),6.01% (LIBOR + 5.00%/Q),12/18/2019,29.6,29.6
852,"Repairify, Inc. and Repairify Holdings, LLC (16)",Provider of automotive diagnostics scans and solutions,"Class A common units (163,820 units)",0,6/14/2021,4.9,4.9
853,"Wildcat BuyerCo, Inc. and Wildcat Parent, LP (16)",Provider and supplier of electrical components for commercial and industrial applications,First lien senior secured loan ($0.8 par due 02/2026),6.76% (LIBOR + 5.75%/Q),11/18/2021,0.8,0.8
854,"Wildcat BuyerCo, Inc. and Wildcat Parent, LP (16)",Provider and supplier of electrical components for commercial and industrial applications,First lien senior secured loan ($18.1 par due 02/2026),6.76% (LIBOR + 5.75%/Q),2/27/2020,18.1,18.1
855,"Wildcat BuyerCo, Inc. and Wildcat Parent, LP (16)",Provider and supplier of electrical components for commercial and industrial applications,"Limited partnership interests (17,655 interests)",0,2/27/2020,1.8,3.4
856,"Commercial Trailer Leasing, Inc. (16)",Trailer leasing company,First lien senior secured loan ($64.6 par due 01/2026),7.25% (LIBOR + 6.25%/Q),1/19/2021,64.6,64.6
857,"Commercial Trailer Leasing, Inc. (16)",Trailer leasing company,First lien senior secured loan ($10.4 par due 01/2026),7.25% (LIBOR + 6.25%/Q),1/19/2021,10.4,10.4
858,"Commercial Trailer Leasing, Inc. (16)",Trailer leasing company,Second lien senior secured loan ($19.9 par due 01/2027),13.00%,1/19/2021,19.9,19.9
859,"Shur-Co Acquisition, Inc. and Shur-Co Holdco, Inc. (16)","Provider of tarp systems and accessories for trucks, trailers, carts, and specialty equipment used in the agriculture, construction and flatbed markets",First lien senior secured revolving loan ($2.3 par due 06/2027),7.00% (LIBOR + 6.00%/Q),6/30/2021,2.3,2.3
860,"Shur-Co Acquisition, Inc. and Shur-Co Holdco, Inc. (16)","Provider of tarp systems and accessories for trucks, trailers, carts, and specialty equipment used in the agriculture, construction and flatbed markets",First lien senior secured loan ($27.0 par due 06/2027),7.00% (LIBOR + 6.00%/Q),6/30/2021,27.0,27.0
861,"Shur-Co Acquisition, Inc. and Shur-Co Holdco, Inc. (16)","Provider of tarp systems and accessories for trucks, trailers, carts, and specialty equipment used in the agriculture, construction and flatbed markets","Common stock (7,599,000 shares)",0,6/30/2021,7.6,9.2
862,Excelligence Holdings Corp.,"Developer, manufacturer and retailer of educational products",First lien senior secured loan ($9.6 par due 04/2023),"7.01% (LIBOR + 1.50% Cash, 4.50% PIK/Q)",4/17/2017,9.6,9.3
863,"Flinn Scientific, Inc. and WCI-Quantum Holdings, Inc. (16)","Distributor of instructional products, services and resources",First lien senior secured revolving loan ($6.9 par due 08/2024),6.25% (LIBOR + 5.50%/Q),8/31/2018,6.9,6.9
864,"Flinn Scientific, Inc. and WCI-Quantum Holdings, Inc. (16)","Distributor of instructional products, services and resources",First lien senior secured loan ($29.9 par due 08/2024),6.25% (LIBOR + 5.50%/Q),7/26/2017,29.9,29.9
865,"Flinn Scientific, Inc. and WCI-Quantum Holdings, Inc. (16)","Distributor of instructional products, services and resources",First lien senior secured loan ($1.1 par due 08/2024),6.25% (LIBOR + 5.50%/Q),8/31/2018,1.1,1.1
866,"Flinn Scientific, Inc. and WCI-Quantum Holdings, Inc. (16)","Distributor of instructional products, services and resources","Series A preferred stock (1,272 shares)",0,10/24/2014,0.7,1.1
867,"National College of Business and Technology Company, Inc. & Leeds IV Advisors, Inc.",Private school operator,First lien senior secured loan ($4.0 par due 10/2024),10.50% (LIBOR + 9.00%/Q),3/12/2020,4.0,4.0
868,"National College of Business and Technology Company, Inc. & Leeds IV Advisors, Inc.",Private school operator,"Senior preferred series A-1 shares (151,056 shares)",0,10/31/2015,98.1,36.5
869,"National College of Business and Technology Company, Inc. & Leeds IV Advisors, Inc.",Private school operator,"Series B preferred stock (348,615 shares)",0,8/5/2010,1.0,0.0
870,"National College of Business and Technology Company, Inc. & Leeds IV Advisors, Inc.",Private school operator,"Series B preferred stock (1,401,385 shares)",0,8/5/2010,4.0,0.0
871,"National College of Business and Technology Company, Inc. & Leeds IV Advisors, Inc.",Private school operator,"Series C preferred stock (517,942 shares)",0,6/7/2010,0.1,0.0
872,"National College of Business and Technology Company, Inc. & Leeds IV Advisors, Inc.",Private school operator,"Series C preferred stock (1,994,644 shares)",0,6/7/2010,0.5,0.0
873,"National College of Business and Technology Company, Inc. & Leeds IV Advisors, Inc.",Private school operator,Common stock (16 shares),0,6/7/2010,0.0,0.0
874,"National College of Business and Technology Company, Inc. & Leeds IV Advisors, Inc.",Private school operator,Common stock (4 shares),0,6/7/2010,0.0,0.0
875,Primrose Holding Corporation (4),Franchisor of education-based early childhood centers,"Common stock (7,227 shares)",0,1/3/2017,4.6,27.0
876,CDI Holdings III Corp. and CDI Holdings I Corp. (16),Provider of personal care appliances,First lien senior secured loan ($3.8 par due 12/2027),6.75% (LIBOR + 5.75%/Q),12/22/2021,3.8,3.8
877,CDI Holdings III Corp. and CDI Holdings I Corp. (16),Provider of personal care appliances,"Common stock (6,149 shares)",0,12/22/2021,6.1,6.1
878,"Foundation Consumer Brands, LLC",Pharmaceutical holding company of over the counter brands,First lien senior secured loan ($24.9 par due 10/2026),6.50% (LIBOR + 5.50%/Q),2/12/2021,24.4,24.9
879,"Premier Specialties, Inc. and RMCF V CIV XLIV, L.P. (16)",Manufacturer and supplier of natural fragrance materials and cosmeceuticals,First lien senior secured revolving loan ($0.3 par due 08/2027),6.75% (LIBOR + 5.75%/M),8/20/2021,0.3,0.3
880,"Premier Specialties, Inc. and RMCF V CIV XLIV, L.P. (16)",Manufacturer and supplier of natural fragrance materials and cosmeceuticals,First lien senior secured loan ($27.5 par due 08/2027),6.75% (LIBOR + 5.75%/M),8/20/2021,27.5,26.6
881,"Premier Specialties, Inc. and RMCF V CIV XLIV, L.P. (16)",Manufacturer and supplier of natural fragrance materials and cosmeceuticals,Limited partner interests (4.58% interest),0,8/20/2021,4.7,3.2
882,"Rug Doctor, LLC and RD Holdco Inc. (5)",Manufacturer and marketer of carpet cleaning machines,Second lien senior secured loan ($22.6 par due 05/2023),0,1/3/2017,22.0,16.9
883,"Rug Doctor, LLC and RD Holdco Inc. (5)",Manufacturer and marketer of carpet cleaning machines,"Common stock (458,596 shares)",0,1/3/2017,14.0,0.0
884,"Rug Doctor, LLC and RD Holdco Inc. (5)",Manufacturer and marketer of carpet cleaning machines,"Warrant to purchase up to 56,372 shares of common stock (expires 12/2023)",0,1/3/2017,0.0,0.0
885,"Walnut Parent, Inc.",Manufacturer of natural solution pest and animal control products,First lien senior secured loan ($14.7 par due 11/2027),6.50% (LIBOR + 5.50%/Q),11/9/2020,14.7,14.7
886,"Emergency Communications Network, LLC (16)",Provider of mission critical emergency mass notification solutions,First lien senior secured revolving loan ($6.5 par due 06/2022),"8.75% (LIBOR + 2.63% Cash, 5.13% PIK/Q)",6/1/2017,6.5,5.8
887,"Emergency Communications Network, LLC (16)",Provider of mission critical emergency mass notification solutions,First lien senior secured loan ($46.5 par due 06/2023),"8.75% (LIBOR + 2.63% Cash, 5.13% PIK/Q)",6/1/2017,46.5,41.4
888,Grand Total,Provider of mission critical emergency mass notification solutions,0,0,0,19307.5,19485.5
