1515,,BlackRock Liquidity Funds T-Fund Institutional Shares (CUSIP 09248U718),,0.00%(20),,,,,,"72,800",,,2.9,%,"72,800",,,,,,,,,,,,
1516,,Morgan Stanley Institutional Liquidity Funds Treasury Portfolio (CUSIP 61747C582),,0.01%(20),,,,,,"1,808",,,0.1,,"1,808",,,,,,,,,,,,
1517,,Total money market funds,,,"74,608",,,3.0,%,,"74,608",,,,,,,,,,,,,,,,
1518,,Total Investments and Money Market Funds,,,,,"4,526,635",,,177.3,%,,"4,514,155",,,,,,,,,,,,,,
1553,Portfolio Company,,"Fair value as of September 30, 2020",,Gross Additions(a),,Gross Reductions(b),,,,Net change in unrealized gain (loss),,Net realized gain (loss),,,"Fair value as of June 30, 2021",,"Interest, dividend and fee income",,,,,,,,,
1554,"Benetech, Inc.",,,"2,672",,,,314,,,,(525),,,,,,85,,,,0,,,,"2,546",260
1555,Dental Holdings Corporation,,"9,320",,,"1,008",,,"(13,220)",,,,,"1,793",,,"1,099",,,,0,,,462,,,
1556,Elite Dental Partners LLC,,"15,368",,,8,,,(69),,,,,517,,,0,,,,"15,824",,,670,,,
1557,"Paradigm DKD Group, LLC",,"2,460",,,"1,123",,,"(1,139)",,,,,138,,,0,,,,"2,582",,,13,,,
1558,"Rubio's Restaurants, Inc(c)",,0,,,"28,760",,,"(16,460)",,,,,"10,824",,,"(5,739)",,,,"17,385",,,"1,449",,,
1559,"Sloan Company, Inc., The",,"4,365",,,470,,,(421),,,,,274,,,0,,,,"4,688",,,50,,,
1560,Switchfly LLC,,"7,229",,,339,,,0,,,,,196,,,0,,,,"7,764",,,336,,,
1561,Uinta Brewing Company,,586,,,244,,,(186),,,,,(188),,,0,,,,456,,,(3),,,
1562,Total Non-Controlled Affiliates,,,"42,000",,,,"32,266",,,,"(32,020)",,,,,,"13,639",,,,"(4,640)",,,,"51,245","3,237"
